"Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE"
"2879-2632 calBCE (4160±25 BP, PSUAMS-1955)"
"2879-2632 calBCE (4160±25 BP, PSUAMS-1955)"
"4988-4462 calBCE (5860±100 BP, TERRA-06129717)"
"4989-4794 calBCE (5995±35 BP, Poz-83474)"
"4795-4556 calBCE (5840±35 BP, Poz-83475)"
"5211-5001 calBCE (6155±35 BP, Poz-83476)"
"5036-4799 calBCE (6030±40 BP, Poz-83478)"
"5211-4803 calBCE (6080±70 BP, TERRA-b06129705)"
"4841-4706 calBCE (5895±30 BP, PSUAMS-8302)"
"5368-5216 calBCE (6325±35 BP, PSUAMS-2070)"
"4989-4787 calBCE (5985±35 BP, PSUAMS-2114)"
"3705-3633 calBCE (4875±20 BP, PSUAMS-2160)"
"4935-4605 calBCE (5890±60 BP, TERRA-b06129733)"
"4841-4706 calBCE (5895±30 BP, PSUAMS-8302)"
"4983-4726 calBCE (5970±40 BP, Poz-83477)"
"4607-4450 calBCE (5687±30 BP, OxA-43741)"
"4539-4367 calBCE (5635±27 BP, OxA-43742)"
"4676-4458 calBCE (5718±29 BP, OxA-43740)"
"3504-3348 calBCE (4615±25 BP, PSUAMS-3881)"
"3625-3372 calBCE (4705±30 BP, PSUAMS-3874)"
"3516-3370 calBCE (4665±25 BP, PSUAMS-3875)"
"3318-2934 calBCE (4432±17 BP) [R_combine: (4460±30 BP, PSUAMS-3905); (4420±20 BP, PSUAMS-4251)]"
"1053-1223 calCE (875±20 BP, PSUAMS-2115)"
"970-1210 calCE (1760±15 BP, PSUAMS-5476)"
"720-1090 calCE (1900±20 BP, PSUAMS-3736)"
"690-1070 calCE (1945±15 BP, PSUAMS-5324)"
"510-890 calCE (2155±20 BP, PSUAMS-4835)"
"620-980 calCE (2055±15 BP, PSUAMS-5328)"
"1210-1470 calCE (1485±15 BP, PSUAMS-5329)"
"690-1040 calCE (1950±20 BP, PSUAMS-3737)"
"810-1050 calCE (1895±15 BP, PSUAMS-5474)"
"710-990 calCE (1985±20 BP, PSUAMS-5475)"
"970-1210 calCE (1760±15 BP, PSUAMS-5476)"
"730-1010 calCE (1960±20 BP, PSUAMS-5477)"
"620-990 calCE (2050±15 BP, PSUAMS-4836)"
"1050-1400 calCE (1600±15 BP, PSUAMS-4837)"
"630-860 calCE (2090±20 BP, PSUAMS-5478)"
"640-980 calCE (2030±20 BP, PSUAMS-3738)"
"480-710 calCE (2230±20 BP, PSUAMS-5479)"
"348 calBCE - 24 calCE (2091±47 BP, UBA-34056)"
"997-825 calBCE (2760±35 BP, Poz-83438)"
"1386-1212 calBCE (3025±20 BP, PSUAMS-2917)"
"2877-2635 calBCE (4160±20 BP, PSUAMS-2956)"
"2885-2674 calBCE (4185±20 BP, PSUAMS-4275)"
"1613-1503 calBCE (3280±20 BP, PSUAMS-6984)"
"1612-1501 calBCE (3275±20 BP, PSUAMS-2435)"
"1612-1465 calBCE (3270±20 BP, PSUAMS-2960)"
"1607-1450 calBCE (3255±20 BP, PSUAMS-2436)"
"1614-1511 calBCE (3295±20 BP, PSUAMS-2865)"
"1612-1465 calBCE (3270±20 BP, PSUAMS-2437)"
"1686-1518 calBCE (3330±25 BP, PSUAMS-2067)"
"1731-1542 calBCE (3349±16 BP) [R_combine: (3370±25 BP, PSUAMS-3910); (3335±20 BP, PSUAMS-4254)]"
"1615-1466 calBCE (3275±25 BP, PSUAMS-3911)"
"1498-1403 calBCE (3160±20 BP, PSUAMS-4447)"
"2129-1940 calBCE (3640±20 BP, PSUAMS-4274)"
"1732-1542 calBCE (3350±20 BP, PSUAMS-2918)"
"2024-1779 calBCE (3572±29 BP, OxA-12530)"
"2008-1773 calBCE (3550±25 BP, PSUAMS-1954)"
"2012-1772 calBCE (3549±29 BP, OxA-12531)"
"1928-1751 calBCE (3520±25 BP, PSUAMS-2064)"
"1879-1693 calBCE (3460±20 BP, PSUAMS-2102)"
"1891-1743 calBCE (3495±25 BP, PSUAMS-1952)"
"1931-1749 calBCE (3520±30 BP, Beta-436294)"
"2016-1773 calBCE (3555±31 BP, OxA-12533)"
"1951-1770 calBCE (3540±25 BP, PSUAMS-1953)"
"1919-1701 calBCE (3500±30 BP, Beta-436363)"
"1886-1694 calBCE (3475±30 BP, PSUAMS-2101)"
"1879-1632 calBCE (3440±30 BP, Beta-436293)"
"2877-2626 calBCE (4150±31 BP, OxA-16190)"
"2026-1701 calBCE (3540±52 BP, AA-90949)"
"2133-1751 calBCE (3584±55 BP, AA-90948)"
"3326-2926 calBCE (4430±25 BP, PSUAMS-5790)"
"4230-3984 calBCE (5261±33 BP, OxA-33486)"
"6329-6079 calBCE (7343±29 BP) [R_combine: (7330±40 BP, Poz-82198); (7355±40 BP, OxA-33489)]"
"4723-4550 calBCE (5805±25 BP, PSUAMS-2359)"
"830-1260 calCE [union of two dates: 900-1260 calCE (1780±15 BP, PSUAMS-5325); 830-1190 calCE (1825±20 BP, PSUAMS-1906)]"
"900-1250 calCE (1765±20 BP, PSUAMS-3739)"
"990-1320 calCE (1695±15 BP, PSUAMS-5332)"
"2897-2704 calBCE (4220±18 BP) [R_combine: (4215±25 BP, PSUAMS-3742); (4225±25 BP, PSUAMS-1963)]"
"2570-2460 calBCE (3995±20 BP, PSUAMS-5326)"
"4350-4260 calBCE (5455±20 BP, PSUAMS-5327)"
"5210-4960 calBCE (6120±30 BP, PSUAMS-3741)"
"2900-2700 calBCE (4210±20 BP, PSUAMS-4858)"
"2840-2490 calBCE (4070±20 BP, PSUAMS-3743)"
"2860-2500 calBCE (4095±25 BP, PSUAMS-3744)"
"3950-3790 calBCE (5070±20 BP, PSUAMS-4857)"
"1280-1390 calCE (645±15 BP, PSUAMS-4859)"
"2620-2480 calBCE (4035±20 BP, PSUAMS-5333)"
"2860-2570 calBCE (4105±20 BP, PSUAMS-5480)"
"3790-3690 calBCE (4970±20 BP, PSUAMS-5481)"
"2140-1901 calBCE (3650±40 BP, SUERC-5318)"
"2337-2138 calBCE (3794±26 BP, OxA-13660)"
"2269-1985 calBCE (3721±33 BP, OxA-13097)"
"2269-1985 calBCE (3721±33 BP, OxA-13097)"
"2134-2056 calBCE (3657±20 BP) [R_combine: (3679±28 BP, SUERC-80274); (3634±28 BP, SUERC-80275)]"
"750-404 calBCE (2430±30 BP, SUERC-24246)"
"727-396 calBCE (2395±30 BP, SUERC-21988)"
"42 calBCE - 116 calCE (1983±24 BP, SUERC-97411)"
"44 calBCE - 117 calCE (1987±29 BP, SUERC-94954)"
"97 calBCE - 107 calCE (2019±30 BP, SUERC-94959)"
"196 calBCE - 3 calCE (2091±30 BP, SUERC-94953)"
"197 calBCE - 1 calCE (2095±30 BP, SUERC-24248)"
"159 calBCE - 26 calCE (2050±30 BP, SUERC-24241)"
"90 calBCE - 110 calCE (2010±30 BP, SUERC-50518)"
"43 calBCE - 117 calCE (1984±28 BP, SUERC-50519)"
"152 calBCE - 22 calCE (2052±26 BP, SUERC-68732)"
"41 calBCE - 121 calCE (1977±29 BP, SUERC-68706)"
"170 calBCE - 10 calCE (2070±31 BP, SUERC-73990)"
"173 calBCE - 8 calCE (2075±31 BP, SUERC-73991)"
"42 calBCE - 119 calCE (1980±28 BP, SUERC-73992)"
"151 calBCE - 77 calCE (2030±35 BP, GrA-27298)"
"1283-940 calBCE (2930±50 BP, GU-2762)"
"4444-4255 calBCE (5492±36 BP, SUERC-69249)"
"4444-4255 calBCE (5492±36 BP, SUERC-69249)"
"395-207 calBCE (2260±29 BP, SUERC-68733)"
"399-207 calBCE (2271±33 BP, SUERC-69075)"
"364-121 calBCE (2180±30 BP, SUERC-24252)"
"337-43 calBCE (2103±30 BP, SUERC-94958)"
"361-110 calBCE (2175±30 BP, SUERC-24247)"
"364-121 calBCE (2180±30 BP, SUERC-21990)"
"355-55 calBCE (2155±30 BP, SUERC-24250)"
"346-51 calBCE (2130±30 BP, SUERC-21991)"
"349-51 calBCE (2135±30 BP, SUERC-24257)"
"3331-3022 calBCE (4455±22 BP, SUERC-95467)"
"3706-3536 calBCE (4856±33 BP, SUERC-69074)"
"3751-3636 calBCE (4895±25 BP, PSUAMS-5771)"
"3647-3533 calBCE (4832±14 BP) [R_combine: (4830±25 BP, PSUAMS-5772); (4840±30 BP, PSUAMS-5773); (4830±25 BP, PSUAMS-5774); (4830±25 BP, PSUAMS-5776)]"
"3629-3377 calBCE (4725±25 BP, PSUAMS-5775)"
"5610-5376 calBCE (6520±40 BP, Poz-82186)"
"4712-4502 calBCE (5760±40 BP, Poz-82185)"
"757-423 calBCE (2465±20 BP, PSUAMS-8932)"
"783-549 calBCE (2525±20 BP, PSUAMS-10087)"
"94 calBCE - 58 calCE (2030±20 BP, PSUAMS-8929)"
"151 calBCE - 8 calCE (2060±15 BP, PSUAMS-8882)"
"167-46 calBCE (2090±20 BP, PSUAMS-8931)"
"729-402 calBCE (2410±25 BP, KIA-37317)"
"742-400 calBCE (2412±29 BP, SUERC-69421)"
"750-415 calBCE (2450±20 BP, KIA-37316)"
"763-425 calBCE (2470±25 BP, KIA-37315)"
"787-544 calBCE (2518±28 BP, SUERC-69417)"
"795-592 calBCE (2550±15 BP, PSUAMS-3055)"
"796-570 calBCE (2550±20 BP, PSUAMS-3092)"
"776-539 calBCE (2499±28 BP, SUERC-69422)"
"901-805 calBCE (2693±29 BP, SUERC-69436)"
"1423-1268 calBCE (3086±30 BP, SUERC-69437)"
"401-208 calBCE (2281±29 BP, SUERC-69438)"
"665-884 calCE (1310±50 BP, Pta-4373)"
"88 calBCE - 202 calCE (2000±50 BP, Pta-5283)"
"403-201 calBCE (2330±25 BP, UGAMS-7255)"
"2900-2675 calBCE (4210±30 BP, Beta-416455)"
"2199-1978 calBCE (3697±30 BP, OxA-31057)"
"2468-2294 calBCE (3900±30 BP, KIA-30020)"
"5298-5059 calBCE (6218±24 BP, MAMS-16162)"
"1879-1697 calBCE (3466±16 BP) [R_combine: (3454±26 BP, D-AMS018425); (3473±20 BP, MAMS-22647)]"
"413-382 calBCE (2335±20 BP, PSUAMS-9542)"
"971-813 calBCE (2740±30 BP, Beta-299308)"
"152 calBCE - 4 calCE (2068±15 BP) [R_combine: (2060±20 BP, PSUAMS-9543), (2075±20 BP, PSUAMS-9544)]"
"160 calBCE - 1 calCE (2075±20 BP, PSUAMS-9544)"
"1412-1227 calBCE (3060±30 BP, Beta-299307)"
"1879-1697 calBCE (3466±16 BP) [R_combine: (3454±26 BP, D-AMS018425); (3473±20 BP, MAMS-22647)]"
"904-814 calBCE (2715±20 BP, PSUAMS-3717)"
"904-814 calBCE (2715±20 BP, PSUAMS-3717)"
"669-820 calCE (1270±22 BP, UGAMS-34383)"
"682-878 calCE (1240±22 BP, UGAMS-34387)"
"772-957 calCE (1170±22 BP, UGAMS-34388)"
"706-884 calCE (1220±22 BP, UGAMS-34393)"
"774-884 calCE (1200±13 BP) [R_combine: (1220±22 BP, UGAMS-34384); (1190±15 BP, PSUAMS-4593)]"
"702-881 calCE (1230±22 BP, UGAMS-34386)"
"772-946 calCE (1180±22 BP, UGAMS-34391)"
"893-1022 calCE (1080±23 BP, UGAMS-34389)"
"773-990 calCE (1140±22 BP, UGAMS-34390)"
"673-825 calCE (1260±22 BP, UGAMS-34394)"
"772-957 calCE (1170±22 BP, UGAMS-34385)"
"669-820 calCE (1270±22 BP, UGAMS-34382)"
"784-879 calCE (1213±13 BP) [R_combine: (1210±22 BP, UGAMS-34395); (1215±15 BP, PSUAMS-4594)]"
"772-892 calCE (1190±22 BP, UGAMS-34392)"
"892-1016 calCE (1090±22 BP, UGAMS-34403)"
"706-884 calCE (1220±22 BP, UGAMS-34404)"
"773-887 calCE (1200±22 BP, UGAMS-34405)"
"710-886 calCE (1210±22 BP, UGAMS-34408)"
"682-878 calCE (1240±22 BP, UGAMS-34397)"
"710-886 calCE (1210±22 BP, UGAMS-34396)"
"669-820 calCE (1270±22 BP, UGAMS-34406)"
"676-773 calCE (1272±12 BP) [R_combine: (1260±22 BP, UGAMS-34409); (1250±25 BP, PSUAMS-3908); (1285±15 BP, PSUAMS-4253)]"
"772-892 calCE (1190±22 BP, UGAMS-34398)"
"682-878 calCE (1240±22 BP, UGAMS-34399)"
"772-949 calCE (1180±24 BP, UGAMS-34400)"
"773-978 calCE (1150±23 BP, UGAMS-34402)"
"655-775 calCE (1320±22 BP, UGAMS-34407)"
"656-775 calCE (1320±20 BP, UGAMS-35229)"
"1366-1126 calBCE (2990±20 BP, PSUAMS-7614)"
"431-556 calCE (1570±20 BP, PSUAMS-8396)"
"133-324 calCE (1820±20 BP, PSUAMS-7909)"
"32-206 calCE (1920±20 BP, PSUAMS-7910)"
"245-378 calCE (1745±20 BP, PSUAMS-7911)"
"246-365 calCE (1745±15 BP, PSUAMS-7948)"
"415-540 calCE (1610±25 BP, PSUAMS-2075)"
"22-201 calCE (1935±20 BP, PSUAMS-7936)"
"258-413 calCE (1700±20 BP, PSUAMS-7912)"
"401-538 calCE (1635±20 BP, PSUAMS-7949)"
"660-774 calCE (1315±15 BP, PSUAMS-7939)"
"376-532 calCE (1650±15 BP, PSUAMS-7940)"
"431-556 calCE (1570±20 BP, PSUAMS-7941)"
"439-586 calCE (1540±15 BP, PSUAMS-7942)"
"1511-1432 calBCE (3215±20 BP, PSUAMS-2510)"
"1615-1504 calBCE (3285±25 BP, PSUAMS-2121)"
"3634-3522 calBCE (4765±20 BP, PSUAMS-2624)"
"160 calBCE - 1 calCE (2075±20 BP, PSUAMS-6159)"
"51 calBCE - 61 calCE (2020±20 BP, PSUAMS-6160)"
"5217-5000 calBCE (6210±30 BP, PSUAMS-4718)"
"1204-937 calBCE (2925±20 BP, ISGS-A3806)"
"1204-937 calBCE (2925±20 BP, ISGS-A3806)"
"539-643 calCE (1520±30 BP, Beta-434912)"
"539-643 calCE (1520±30 BP, Beta-434912)"
"539-643 calCE (1520±30 BP, Beta-434912)"
"1319-1411 calCE (623±20 BP, Wk-43308)"
"245-368 calCE (1780±25 BP, PSUAMS-5651)"
"47 calBCE - 113 calCE (2005±20 BP, PSUAMS-5652)"
"414-203 calBCE (2355±20 BP, PSUAMS-5653)"
"721-386 calBCE (2410±20 BP, PSUAMS-5654)"
"776-487 calBCE (2530±15 BP, PSUAMS-5655)"
"768-421 calBCE (2510±20 BP, PSUAMS-5656)"
"50 calBCE - 60 calCE (2030±20 BP, PSUAMS-5650)"
"586-652 calCE (1479±23 BP, OxA-31427)"
"586-652 calCE (1479±23 BP, OxA-31427)"
"586-652 calCE (1479±23 BP, OxA-31427)"
"777-547 calBCE (2515±20 BP, PSUAMS-3756)"
"777-547 calBCE (2515±20 BP, PSUAMS-3756)"
"1271-1378 calCE (710±20 BP, PSUAMS-9548)"
"1031-1158 calCE (955±15 BP, PSUAMS-8565)"
"3946-3660 calBCE (5016±31 BP, OxA-32776)"
"3946-3660 calBCE (5016±31 BP, OxA-32776)"
"3946-3660 calBCE (5016±31 BP, OxA-32776)"
"2902-2706 calBCE (4230±20 BP, PSUAMS-3224)"
"2570-2351 calBCE (3960±20 BP, PSUAMS-3225)"
"6424-6233 calBCE (7460±50 BP, Poz-82231)"
"6424-6233 calBCE (7460±50 BP, Poz-82231)"
"1472-1632 calCE (355±15 BP, PSUAMS-8726)"
"1465-1633 calCE (355±20 BP, PSUAMS-8790)"
"1444-1618 calCE (400±20 BP, PSUAMS-8836)"
"1325-1425 calCE (550±20 BP, PSUAMS-8791)"
"1404-1440 calCE (510±20 BP, PSUAMS-8792)"
"2196-2029 calBCE (3705±20 BP, PSUAMS-2804)"
"2336-2144 calBCE (3805±20 BP, PSUAMS-4602)"
"3096-2919 calBCE (4400±25 BP, PSUAMS-3986)"
"3346-3092 calBCE (4490±25 BP, PSUAMS-3987)"
"3316-2923 calBCE (4420±25 BP, PSUAMS-4038)"
"3091-2918 calBCE (4390±20 BP, PSUAMS-5276)"
"3010-2881 calBCE (4300±25 BP, PSUAMS-3988)"
"3315-2928 calBCE (4425±20 BP, PSUAMS-2799)"
"3312-2920 calBCE (4415±25 BP, PSUAMS-3757)"
"3081-2907 calBCE (4365±25 BP, PSUAMS-2950)"
"2014-1771 calBCE (3550±30 BP, PSUAMS-2065)"
"2289-2141 calBCE (3785±20 BP, PSUAMS-2309)"
"2204-2027 calBCE (3720±30 BP, Poz-83485)"
"2140-1977 calBCE (3680±20 BP, PSUAMS-2310)"
"2130-1896 calBCE (3630±30 BP, PSUAMS-2066)"
"2135-1953 calBCE (3660±20 BP, PSUAMS-2311)"
"2195-2027 calBCE (3700±20 BP, PSUAMS-2312)"
"2020-1882 calBCE (3580±20 BP, PSUAMS-2313)"
"2197-2034 calBCE (3715±20 BP, PSUAMS-2335)"
"2123-1830 calBCE (3605±35 BP, Poz-83490)"
"2204-2038 calBCE (3735±20 BP, PSUAMS-2314)"
"2138-1973 calBCE (3670±20 BP, PSUAMS-2315)"
"2199-2035 calBCE (3720±20 BP, PSUAMS-2316)"
"2131-1942 calBCE (3645±20 BP, PSUAMS-2317)"
"2133-1946 calBCE (3650±20 BP, PSUAMS-2840)"
"2286-2064 calBCE (3770±20 BP, PSUAMS-2806)"
"2276-1985 calBCE (3725±35 BP, Poz-83484)"
"2282-2028 calBCE (3735±35 BP, Poz-83486)"
"2140-1977 calBCE (3680±20 BP, PSUAMS-2152)"
"2456-2200 calBCE (3840±35 BP, Poz-83487)"
"2451-2141 calBCE (3815±35 BP, Poz-83491)"
"2282-2041 calBCE (3755±25 BP, PSUAMS-4599)"
"2141-1961 calBCE (3675±25 BP, PSUAMS-4603)"
"1498-1413 calBCE (3170±20 BP, PSUAMS-2998)"
"2341-2038 calBCE (3775±40 BP, PSUAMS-2951)"
"1050-1400 calCE (1170±30 BP, Beta-337194)"
"1050-1400 calCE (1170±30 BP, Beta-337194)"
"1050-1400 calCE (1170±30 BP, Beta-337194)"
"1450-1820 calCE (1111±42 BP, AA-46433)"
"1240-1510 calCE (1410±41 BP, AA-57438)"
"1350-1680 calCE (1227±45 BP, AA-46427)"
"1390-1700 calCE (1200±41 BP, AA-57428)"
"1390-1720 calCE (1182±45 BP, AA-46432)"
"1450-1820 calCE (1088±41 BP, AA-57430)"
"1480-1960 calCE (1059±40 BP, AA-57431)"
"690-1080 calCE (1918±43 BP, AA-57414)"
"1250-1640 calCE (1348±82 BP, AA-46416)"
"350 calBCE - 110 calCE (2838±48 BP, AA-46421)"
"730-1240 calCE (1830±84 BP, AA-46418)"
"1250-1640 calCE (1348±82 BP, AA-46416)"
"1490-1639 calCE (330±20 BP, PSUAMS-11956)"
"1302-1400 calCE (610±20 BP, PSUAMS-10006)"
"1423-1455 calCE (460±20 BP, PSUAMS-10007)"
"1525-1795 calCE (265±20 BP, PSUAMS-10008)"
1520-1647 calCE (300±15 BP PSUAMS-11925)
"1329-1436 calCE (530±20 BP, PSUAMS-11958)"
"1453-1625 calCE (375±20 BP, PSUAMS-10009)"
"1448-1615 calCE (395±15 BP, PSUAMS-10010)"
"1295-1391 calCE (645±15 BP, PSUAMS-11959)"
1311-1410 calCE (580±20 BP PSUAMS-11908)
"1397-1437 calCE (525±20 BP, PSUAMS-11963)"
1465-1633 calCE (355±20 BP PSUAMS-11926)
"1410-1446 calCE (490±20 BP, PSUAMS-10206)"
"1431-1475 calCE (435±20 BP, PSUAMS-11957)"
"1026-1154 calCE (970±15 BP, UCIAMS-145221)"
"885-980 calCE (1130±15 BP, UCIAMS-148198)"
"993-1031 calCE (1020±15 BP, UCIAMS-145227)"
"992-1034 calCE (1015±15 BP, UCIAMS-145226)"
"991-1025 calCE (1045±15 BP, UCIAMS-145217)"
"1631-1508 calBCE (3315±25 BP, PSUAMS-6198)"
"1880-1695 calBCE (3465±20 BP, PSUAMS-2774)"
"1613-1503 calBCE (3280±20 BP, PSUAMS-4605)"
"3332-2937 calBCE (4445±25 BP, PSUAMS-4780)"
"1607-1444 calBCE (3250±25 BP, PSUAMS-2112)"
"1741-1549 calBCE (3370±20 BP, PSUAMS-2516)"
"1508-1434 calBCE (3210±20 BP, PSUAMS-2517)"
"1540-1455 calBCE (3255±15 BP, PSUAMS-2518)"
"1681-1533 calBCE (3335±20 BP, PSUAMS-3227)"
"1884-1700 calBCE (3480±25 BP, PSUAMS-2800)"
"1748-1624 calBCE (3405±20 BP, PSUAMS-3228)"
"1497-1316 calBCE (3145±25 BP, PSUAMS-5284)"
"1741-1613 calBCE (3375±20 BP, PSUAMS-5275)"
"1873-1630 calBCE (3430±25 BP, PSUAMS-2536)"
"1886-1750 calBCE (3500±20 BP, PSUAMS-2165)"
"1935-1751 calBCE (3525±25 BP, PSUAMS-2125)"
"2031-1900 calBCE (3615±20 BP, PSUAMS-3106)"
"1949-1774 calBCE (3545±20 BP, PSUAMS-3117)"
"1881-1700 calBCE (3475±20 BP, PSUAMS-3229)"
"1935-1751 calBCE (3525±25 BP, PSUAMS-3120)"
"2010-1779 calBCE (3560±20 BP, PSUAMS-3121)"
"1886-1747 calBCE (3495±20 BP, PSUAMS-3231)"
"2016-1830 calBCE (3575±20 BP, PSUAMS-3230)"
"2010-1779 calBCE (3560±20 BP, PSUAMS-3122)"
"4486-4350 calBCE (5580±30 BP, PSUAMS-6970)"
"610-770 calCE [R_combine: 550-670 calCE (1530±20 BP, PSUAMS-1841); 650-780 calCE (1395±15 BP, PSUAMS-2428)]"
"610-770 calCE [R_combine: 550-670 calCE (1530±20 BP, PSUAMS-1841); 650-780 calCE (1395±15 BP, PSUAMS-2428)]"
"580-710 calCE [R_combine: 570-680 calCE (1490±15 BP, PSUAMS-2460); 600-770 calCE (1464±30 BP, Wk-25769)]"
"1650-1950 calCE (255±20 BP, PSUAMS-1922)"
"1670-1950 calCE (225±20 BP, PSUAMS-1923)"
"1690-1930 calCE (135±15 BP, UCIAMS-188792)"
"1670-1950 calCE (190±15 BP, UCIAMS-188794)"
"1680-1950 calCE (200±20 BP, UCIAMS-188795)"
"1650-1950 calCE (255±20 BP, PSUAMS-1922)"
"1670-1950 calCE (225±20 BP, PSUAMS-1923)"
"1520-1950 calCE (305±15 BP, UCIAMS-188793)"
"1671-1950 calCE (180±20 BP, PSUAMS-5494)"
"410-210 calBCE (2348±32 BP, Wk-20390)"
"410-210 calBCE (2348±32 BP, Wk-20390)"
"1040-800 calBCE (2983±32 BP, Wk-22657)"
"1070-800 calBCE (3045±30 BP, Poz-81126)"
"1160-830 calBCE (3083±26 BP, Wk-21026)"
"970-770 calBCE (2955±20 BP, PSUAMS-2411)"
"1070-800 calBCE (3045±30 BP, Poz-81126)"
"1040-800 calBCE (2983±32 BP, Wk-22657)"
"1160-830 calBCE (3083±26 BP, Wk-21026)"
"1220-860 calBCE (3050±49 BP, Wk-22658)"
"1060-810 calBCE (2995±21, Wk-22659)"
"1502-1643 calCE (350±20 BP, PSUAMS-6698)"
"1320-1620 calCE (559±30 BP, Wk-20030)"
"411-381 calBCE (2330±20 BP, PSUAMS-7364)"
"385-206 calBCE (2240±20 BP, PSUAMS-8214)"
"381-203 calBCE (2230±20 BP, PSUAMS-8215)"
"409-365 calBCE (2315±20 BP, PSUAMS-7365)"
"376-201 calBCE (2220±20 BP, PSUAMS-8225)"
"395-209 calBCE (2265±20 BP, PSUAMS-8216)"
"44 calBCE - 61 calCE (2005±15 BP, PSUAMS-2371)"
"44 calBCE - 61 calCE (2005±15 BP, PSUAMS-2371)"
"2133-1892 calBCE (3630±35 BP, Poz-81116)"
"1876-1687 calBCE (3445±20 BP, PSUAMS-2409)"
"1889-1742 calBCE (3490±25 BP, PSUAMS-1920)"
"1872-1636 calBCE (3430±20 BP, PSUAMS-2370)"
"2133-1892 calBCE (3630±35 BP, Poz-81116)"
"1889-1742 calBCE (3490±25 BP, PSUAMS-1920)"
"1872-1636 calBCE (3430±20 BP, PSUAMS-2370)"
"1882-1742 calBCE (3480±20 BP, PSUAMS-2410)"
"1882-1742 calBCE (3480±20 BP, PSUAMS-2410)"
"169 calBCE - 2 calCE (2080±25 BP, SUERC-97787)"
"1201-1015 calBCE (2910±20 BP, PSUAMS-8441)"
"1500-1322 calBCE (3156±28 BP, OxA-V-2271-28)"
"7739-7536 calBCE (8597±54 BP, UBA-32282)"
"397-205 calBCE (2263±35 BP, Wk-15365)"
"2876-2680 calBCE (4170±100 BP, OxA-3817)"
"3700-3518 calBCE (4819±42 BP, UBA-32284)"
"3700-3518 calBCE (4819±42 BP, UBA-32284)"
"3333-2932 calBCE (4480±20 BP, PSUAMS-4764)"
